"ID","ClassName","Likelihood","Impact","LikelihoodPenalty","ImpactPenalty","RiskID","SecurityControlID","SecurityComponentID"
289,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,4,51,38
290,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,8,51,38
291,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,6,51,38
292,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,9,51,38
293,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,2,78,38
294,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,78,38
295,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,8,78,38
296,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,6,78,38
297,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,9,78,38
298,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,2,56,38
299,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,3,56,38
300,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,56,38
301,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,8,56,38
302,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,6,56,38
303,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,9,56,38
304,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,2,52,38
305,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,4,52,38
306,"NZTA\SDLT\Model\ControlWeightSet",7,0,10,10,2,36,38
307,"NZTA\SDLT\Model\ControlWeightSet",5,0,5,0,3,36,38
308,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,46,38
309,"NZTA\SDLT\Model\ControlWeightSet",7,0,0,0,3,46,38
310,"NZTA\SDLT\Model\ControlWeightSet",5,0,0,0,4,46,38
311,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,8,46,38
312,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,6,46,38
313,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,9,46,38
314,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,55,38
315,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,3,55,38
316,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,8,55,38
317,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,6,55,38
318,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,9,55,38
319,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,2,64,38
320,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,3,64,38
321,"NZTA\SDLT\Model\ControlWeightSet",0,0,0,0,2,26,38
322,"NZTA\SDLT\Model\ControlWeightSet",0,0,0,0,3,26,38
323,"NZTA\SDLT\Model\ControlWeightSet",0,0,0,0,4,26,38
324,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,8,26,38
325,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,6,26,38
326,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,9,26,38
327,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,2,28,38
328,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,3,28,38
329,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,28,38
330,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,8,28,38
331,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,6,28,38
332,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,9,28,38
333,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,2,67,38
334,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,3,67,38
335,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,4,67,38
336,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,2,74,38
337,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,74,38
338,"NZTA\SDLT\Model\ControlWeightSet",4,0,5,0,2,38,38
339,"NZTA\SDLT\Model\ControlWeightSet",4,0,5,0,3,38,38
340,"NZTA\SDLT\Model\ControlWeightSet",5,0,5,5,2,60,38
341,"NZTA\SDLT\Model\ControlWeightSet",6,0,20,20,2,70,38
342,"NZTA\SDLT\Model\ControlWeightSet",6,0,0,0,3,70,38
343,"NZTA\SDLT\Model\ControlWeightSet",6,0,0,0,4,70,38
344,"NZTA\SDLT\Model\ControlWeightSet",6,0,0,0,8,70,38
345,"NZTA\SDLT\Model\ControlWeightSet",6,0,0,0,6,70,38
346,"NZTA\SDLT\Model\ControlWeightSet",6,0,0,0,9,70,38
347,"NZTA\SDLT\Model\ControlWeightSet",6,0,0,0,8,72,38
348,"NZTA\SDLT\Model\ControlWeightSet",6,0,0,0,6,72,38
349,"NZTA\SDLT\Model\ControlWeightSet",6,0,0,0,9,72,38
350,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,8,50,38
351,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,6,50,38
